"","log2foldChange","pValues","FDR","celltype","gene"
"PSTPIP2",-0.00543122214114106,0.00157557480883224,0.0222000858159729,"RG","PSTPIP2"
"ST8SIA5",0.0125707838209895,4.29500911293698e-05,0.00178215275300555,"RG","ST8SIA5"
"KATNAL2",-0.00529287404199988,0.000528273777328824,0.010385952545511,"RG","KATNAL2"
"AC090227.2",-0.00556452341805274,0.00343788800893505,0.0383754843376353,"RG","AC090227.2"
"C18orf54",-0.00742742636054538,2.56686447952996e-06,0.000267301674607052,"RG","C18orf54"
"NEDD4L1",0.00528452031358686,0.00212624260422504,0.0274557454998371,"RG","NEDD4L1"
"SOCS6",-0.00265225928514025,0.000251096894053442,0.00623531533371786,"RG","SOCS6"
"CNN2",-0.00498145138142486,0.00494912837508767,0.049568236326331,"RG","CNN2"
"ATP5F1D",0.00379491785353841,0.000594066313376874,0.0112713469004956,"RG","ATP5F1D"
"RPS151",0.00240277724216916,3.83525984766474e-06,0.000353369405649609,"RG","RPS151"
"ATP8B3",-0.00527544355657281,0.000786751482164436,0.0137434585212296,"RG","ATP8B3"
"LMNB2",-0.00413915616061846,0.00492796356139949,0.0494665795053167,"RG","LMNB2"
"TLE2",0.0246401362547038,1.88423256101606e-08,1.12642213953186e-05,"RG","TLE2"
"NFIC1",0.00802351398544561,0.000499265458917907,0.0100311647823405,"RG","NFIC1"
"MATK",0.0109298060455277,0.00408051465606022,0.0431322757496186,"RG","MATK"
"CHAF1A",-0.00530138750336982,7.37885450641825e-05,0.00266824274231084,"RG","CHAF1A"
"AC011498.2",-0.0082454180304742,1.21163213053546e-05,0.000740530561978879,"RG","AC011498.2"
"PLIN4",-0.00713361520899701,0.00295165744434887,0.0345236976878515,"RG","PLIN4"
"MIR7-3HG1",0.0162935542058167,2.32739088375675e-05,0.00112138555984232,"RG","MIR7-3HG1"
"UHRF1",-0.00813868723153073,1.08082197383414e-05,0.00067881507702945,"RG","UHRF1"
"PTPRS1",-0.000538308262881426,0.00394275143645112,0.0421735924027552,"RG","PTPRS1"
"RPL36",0.00350007244512217,0.000658873262801639,0.0121402663640197,"RG","RPL36"
"FBN3",-0.00450898710687913,0.00276509673028456,0.0329870113255899,"RG","FBN3"
"RPS281",0.00173686230966767,6.07060385186258e-06,0.000473360467502,"RG","RPS281"
"ZNF559-ZNF1771",-0.00154047009941268,0.00194555722423313,0.0255726703227582,"RG","ZNF559-ZNF1771"
"S1PR2",-0.00765113258313784,0.000212233480468168,0.00557017985079137,"RG","S1PR2"
"ICAM5",0.0146945978230051,0.00157109566641541,0.0222000858159729,"RG","ICAM5"
"CDKN2D1",0.0104462567937096,0.000423329429604381,0.00889708375422438,"RG","CDKN2D1"
"ILF3",-0.00159662166964652,0.00388854805598989,0.0417320838907798,"RG","ILF3"
"DOCK6",-0.0149770276835001,0.00498575063634001,0.0496189022596858,"RG","DOCK6"
"PLPPR2",0.0052419900834699,0.00311303981585804,0.0357888715582369,"RG","PLPPR2"
"ELAVL3",0.00697834302868681,0.00196427556730641,0.0257767251478803,"RG","ELAVL3"
