"","log2foldChange","pValues","FDR","celltype","gene"
"LY6G5C6",0.0517440669597979,2.33603313420009e-05,0.00261080424465723,"End","LY6G5C6"
"DDAH24",0.0235576373392092,0.00119702986064002,0.0281602331851649,"End","DDAH24"
"C26",-0.0560370827524874,0.000182543417344363,0.00920635156976264,"End","C26"
"ZBTB12",0.0792134518570009,0.00260274508770008,0.0442499118089659,"End","ZBTB12"
"DAXX5",0.0489546273290227,6.0868229295711e-05,0.00463652685165933,"End","DAXX5"
"GRM43",0.0596394836018352,0.000542880483447824,0.0177216865113374,"End","GRM43"
"NUDT36",0.0395394972296561,0.00018813601361913,0.00939646353735104,"End","NUDT36"
"FANCE6",0.0242512640399486,8.44636700925929e-06,0.00152921271200411,"End","FANCE6"
"BRPF33",0.0605839545732536,0.000527002212450243,0.0175688879382862,"End","BRPF33"
"MDGA11",0.0932562109530641,0.000642227805983732,0.0196781486170521,"End","MDGA11"
"TAF86",0.0317297625577018,1.25880097211296e-06,0.000536367226711256,"End","TAF86"
